symbol,trigger_type,close,volume
INTERARCH.NS,C,1809.9,48722
HCL-INSYS.NS,C,11.95,12551
HGS.NS,C,413.6,3575
HISARMETAL.NS,C,154.7,31
HNDFDS.NS,C,521.55,1879
HPAL.NS,C,36.83,28282
GOCLCORP.NS,C,304.15,17001
GRPLTD.NS,C,1799.9,54
GTPL.NS,C,67.75,2924
SILLYMONKS.NS,C,16.91,5392
GALAPREC.NS,C,847.9,15971
GANESHHOU.NS,C,686.9,5562
GAYAHWS.NS,C,2.39,23650
GEEKAYWIRE.NS,C,26.84,16751
GFLLIMITED.NS,C,47.62,10242
GHCL.NS,C,475.0,30176
GLOBALVECT.NS,C,167.89,1790
GLOBUSSPR.NS,C,938.0,15763
GMBREW.NS,C,906.95,11346
STEELCAS.NS,C,293.4,30896
SUMICHEM.NS,C,452.7,113818
EPACKPEB.NS,C,191.29,163790
ESABINDIA.NS,C,6662.0,450
ESSARSHPNG.NS,C,24.35,22469
EXXARO.NS,C,6.69,1790
FEDERALBNK.NS,C,280.45,1408374
FIEMIND.NS,C,2173.9,10291
FOSECOIND.NS,C,4989.8,1114
FSL.NS,C,241.07,718209
DOLLAR.NS,C,268.65,18351
DOLPHIN.NS,C,420.6,2576
DPSCLTD.NS,C,9.96,20337
DREAMFOLKS.NS,C,77.3,17364
DSSL.NS,C,1385.0,21718
ECLERX.NS,C,1523.1,100512
EIFFL.NS,C,244.53,609
ELECTCAST.NS,C,84.79,620850
DALBHARAT.NS,C,1765.2,24615
DAMCAPITAL.NS,C,156.33,84694
DECNGOLD.NS,C,124.25,120477
DELPHIFX.NS,C,11.87,12550
DELTAMAGNT.NS,C,63.46,352
DEVX.NS,C,40.71,15385
DEVYANI.NS,C,118.21,495595
DHAMPURSUG.NS,C,143.75,91477
DHARMAJ.NS,C,269.65,4229
DICIND.NS,C,518.0,359
DIGJAMLMTD.NS,C,48.6,276
CINEVISTA.NS,C,15.47,1471
CMPDI.NS,C,233.97,1204831
CONTROLPR.NS,C,634.05,794
BLKASHYAP.NS,C,53.48,42675
BLS.NS,C,260.55,188368
BRNL.NS,C,20.88,2134
CELEBRITY.NS,C,8.09,6151
TIMETECHNO.NS,C,178.42,2445810
UGARSUGAR.NS,C,39.64,93539
UNIMECH.NS,C,953.2,7808
BHARATRAS.NS,C,1405.2,970
BI.NS,C,67.4,231
BIRLACORPN.NS,C,1025.0,16541
BIRLANU.NS,C,1424.0,2755
BIRLAPREC.NS,C,41.0,5802
ASAHISONG.NS,C,258.92,7929
ASAL.NS,C,509.95,12128
ASALCBR.NS,C,843.85,33113
BANARBEADS.NS,C,101.11,806
ALPA.NS,C,68.11,20235
AMIRCHAND.NS,C,131.03,409579
ARTEMISMED.NS,C,258.65,82231
UNITEDTEA.NS,C,543.65,180
UNIVCABLES.NS,C,1022.05,18727
VADILALIND.NS,C,4247.0,2059
VEEDOL.NS,C,1460.3,1269
VETO.NS,C,111.59,9213
